nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
marcenaria sob medida Itajubá,Itajubá,DeliCart móveis planejados,"R. João Pullit, 328",(35) 98863-0347,,Loja de marcenaria,5.0,3.0,"""Estou extremamente satisfeita com a empresa!""",-22.419794,-45.461826
marcenaria sob medida Itajubá,Itajubá,TOK RÚSTICO - MÓVEIS RÚSTICOS,"R. Belarmino de Menezes, 156",(35) 99842-8673,,Loja de móveis,5.0,13.0,"""Móveis de Excelente qualidade, além de serem lindos.""",-22.430346,-45.454193
marcenaria sob medida Itajubá,Itajubá,Eletrolar Home Design,"R. Jorge Braga, 213",(35) 98826-9924,,Moveleiro,5.0,2.0,,-22.429794,-45.460022
consultoria em usucapião Itajubá,Itajubá,Finis Gestão Para Resultados,"Av. Padre Lourenço da Costa-Rodovia Br-459, 693",(35) 98831-8913,,Consultoria empresarial,5.0,30.0,"""Prestam um ótimo atendimento e direcionam sua empresa ao crescimento.""",-22.430357,-45.44691
consultoria em usucapião Itajubá,Itajubá,Knabe Consultoria Empresarial LTDA,"Rua Professor Júlio dos Santos, 84 - Ap 3",(35) 98703-2387,,Consultoria empresarial,5.0,30.0,"""A melhor empresa que já contratei , excelente trabalho, recomendo...""",-22.428488,-45.446568
consultoria em usucapião Itajubá,Itajubá,Dr. Luciano Meni - Advocacia & Assessoria Jurídica,"Av. B P S, n.944",(35) 98881-4505,,Escritório de advocacia,5.0,102.0,"""Recomendo muito aos nossos clientes que façam seus registros com ele!""",-22.415333,-45.454124
consultoria em usucapião Itajubá,Itajubá,ADVOCACIA ESPECIALIZADA TRABALHISTA E PREVIDENCIÁRIA,"R. Maj. Belo Lisboa, 22 - Sala 12",(35) 3623-3793,,Escritório de advocacia,5.0,17.0,"""Recomendo os serviços advocatícios, excelente.""",-22.425014,-45.4542
consultoria em usucapião Itajubá,Itajubá,Liberato Advogados,"Av. Cel. Carneiro Júnior, 58 - Sala 1",(35) 99212-8154,,Advogado(a) civil,5.0,23.0,"""Recomendo fortemente o escritório Liberato Advogados.""",-22.424559,-45.454853
consultoria em usucapião Itajubá,Itajubá,SCHUMANN ADVOCACIA,"Edifício Residencial e Comercial Itavel - Av. Paulo Chiaradia, 462",(35) 3622-3176,,Advogado,4.8,4.0,,-22.430023,-45.4578
regularização de imóveis Itajubá,Itajubá,Cartório de Registro de Imóveis de Itajubá,"Condomínio Edifício Pedra Amarela - Praça Teodomiro Santiago, 104",(35) 3621-3857,,Cartório de Registro de Imóveis,3.3,32.0,,-22.424047,-45.452038
instalação de energia solar Itajubá,Itajubá,Solarprime Soluções em Energia | Unidade Itajubá,"Av. Padre Lourenço da Costa-Rodovia Br-459, 2790",(35) 99139-2758,,Fornecedor de equipamentos a energia solar,5.0,42.0,"""Recomendo a todos q tiverem interesse a usar energia solar.""",-22.441967,-45.433247
instalação de energia solar Itajubá,Itajubá,Energia Service,"Av. Padre Lourenço da Costa-Rodovia Br-459, 2252 - sala 02",(35) 3617-0296,,Fornecedor de equipamentos a energia solar,4.8,17.0,"""Empresa de ótima qualidade!!""",-22.438341,-45.4369
instalação de energia solar Itajubá,Itajubá,3T SOLAR - Soluções em Energia | Energia Solar | Painéis Fotovoltáicos,"Av. Pres. Tancredo de Almeida Neves, 565",(35) 3622-0802,,Fornecedor de equipamentos a energia solar,4.7,35.0,"""Empresa excelente, ótimo atendimento, agilidade eficiência e preço.""",-22.424833,-45.46815
instalação de energia solar Itajubá,Itajubá,Alta Tensão Energia Solar,"Av. Padre Lourenço da Costa-Rodovia Br-459, 2490",(35) 2143-1277,,Fornecedor de equipamentos a energia solar,4.9,44.0,"""Contratei serviço de energia solar e instalação elétrica interna da casa.""",-22.439768,-45.435738
instalação de energia solar Itajubá,Itajubá,Aquece Minas Aquecimento Solar,"R. Cônego José Salomon, 61",(35) 3622-2341,,Loja de Material Hidráulico,5.0,2.0,,-22.430428,-45.45544
instalação de energia solar Itajubá,Itajubá,AER,"Av. José Manoel Pereira, 104",(35) 99204-0064,,Empresa de energia solar,5.0,3.0,,-22.43108,-45.45909
instalação de energia solar Itajubá,Itajubá,Solar8 Soluções Energéticas,"R. Cel. Francisco Braz, nº 185 - Sala 208",(35) 3622-4669,,Equipamentos e soluções de energia,,,,-22.423452,-45.453156
instalação de energia solar Itajubá,Itajubá,Juntos Energia,"R. Eduardo Piquet, 78 - 2o andar",0800 718 7203,,Empresa de energia solar,2.6,71.0,"""Entrega o que promete""",-22.428127,-45.45619
instalação de energia solar Itajubá,Itajubá,Platinum Energia Limpa,"R. Profa. Dionésia Maria Lopes, 114",(35) 99257-8857,,Fornecedor de equipamentos a energia solar,,,,-22.417343,-45.460625
instalação de energia solar Itajubá,Itajubá,Archote Jr. - Projetos Elétricos,"Av. B P S, 1303",(35) 99741-0136,,Fornecedor de equipamentos a energia solar,5.0,14.0,"""Os serviços que eles fazem para instalações elétricas é exepcional.""",-22.412374,-45.4496
instalação de energia solar Itajubá,Itajubá,Fania - Automotivo,"Av. Pres. Tancredo de Almeida Neves, 725",(35) 3629-5807,,Fornecedor de equipamentos a energia solar,4.0,14.0,"""Ótimo atendimento, bom preço, variedade de produtos""",-22.423939,-45.468987
instalação de energia solar Itajubá,Itajubá,Fania Lar & Construção,"Av. Pres. Tancredo A Neves, 725",(35) 3629-5858,,Loja de materiais de construção,4.4,16.0,"""Ótimo atendimento, inclusive no pós venda!""",-22.423828,-45.469086
instalação de energia solar Itajubá,Itajubá,Techouse Segurança Eletrônica - Sistemas | Câmeras | Redes | Alarmes,"R. Cel. Goularte, 06",(35) 3623-8574,,Empresa de segurança,4.4,57.0,"""Experiência mto boa,serviço de qualidade,preço justo recomendo""",-22.425575,-45.46214
instalação de energia solar Itajubá,Itajubá,Plug Sistemas Materiais Elétricos,"R. Dr. Luiz Rennó, 696",(35) 3617-1403,,Loja de materiais elétricos,4.5,8.0,"""Só produtos de qualidade e um ótimo atendimento e ótimos preços""",-22.429243,-45.465046
instalação de energia solar Itajubá,Itajubá,Grupo de Geradores Energia Alto Sustentável,,(35) 98445-0103,,Serviço de energia solar,,,,,
instalação de energia solar Itajubá,Itajubá,CONSULTORA IGREEN ENERGY ID28920,,(35) 98808-3673,,Empresa de energia solar,,,,,
eficiência energética para empresas Itajubá,Itajubá,EXCEN,Itajubá - MG,,,Universidade pública,4.5,2.0,,-22.410799,-45.45087
eficiência energética para empresas Itajubá,Itajubá,Energia Service,"Av. Padre Lourenço da Costa-Rodovia Br-459, 2252 - sala 02",(35) 3617-0296,,Fornecedor de equipamentos a energia solar,4.8,17.0,"""Empresa de ótima qualidade!!""",-22.438341,-45.4369
eficiência energética para empresas Itajubá,Itajubá,AER,"Av. José Manoel Pereira, 104",(35) 99204-0064,,Equipamentos e soluções de energia,5.0,3.0,,-22.43108,-45.45909
eficiência energética para empresas Itajubá,Itajubá,IE Tecnologia,"Av. Henriqueto Cardinale, 800",(35) 3622-1720,,Empresa de Automação Empresarial,3.9,16.0,"""No prazo.Fácil instalação.""",-22.425762,-45.442413
eficiência energética para empresas Itajubá,Itajubá,Equilibre Ambiental,"R. Pref. Tigre Maia, 18 - 103",(35) 3622-2837,,Consultor ambiental,4.9,18.0,"""Super recomendo e confio na equipe da empresa Equilibre Ambiental!""",-22.422697,-45.453815
eficiência energética para empresas Itajubá,Itajubá,Solarprime Soluções em Energia | Unidade Itajubá,"Av. Padre Lourenço da Costa-Rodovia Br-459, 2790",(35) 99139-2758,,Fornecedor de equipamentos a energia solar,5.0,42.0,"""Excelente serviço, e feito antes do prazo contratado.""",-22.441967,-45.433247
eficiência energética para empresas Itajubá,Itajubá,Rennosonic Tecnologia,"R. José Joaquim, 224",(35) 3622-0327,,Escritório da empresa,4.9,8.0,,-22.42691,-45.448032
eficiência energética para empresas Itajubá,Itajubá,AMTK Soluções em Energia Ltda,"R. Domingos Lamoglia, 26",(35) 3622-4622,,Companhia elétrica,5.0,23.0,"""Uma equipe de profissionais altamente capacitados!""",-22.422844,-45.481647
eficiência energética para empresas Itajubá,Itajubá,3T SOLAR - Soluções em Energia | Energia Solar | Painéis Fotovoltáicos,"Av. Pres. Tancredo de Almeida Neves, 565",(35) 3622-0802,,Engenheiro,4.7,35.0,"""Trabalho sensacional, parabéns pelo belo trabalho prestado 👏👏👏""",-22.424833,-45.46815
eficiência energética para empresas Itajubá,Itajubá,Archote Jr. - Projetos Elétricos,"Av. B P S, 1303",(35) 99741-0136,,Consultoria em engenharia,5.0,14.0,"""Foram super atenciosos e entregaram tudo no prazo correto e estabelecido.""",-22.412374,-45.4496
eficiência energética para empresas Itajubá,Itajubá,High Voltage Equipment - HVEX,"R. Ismael Pinto de Noronha, 86",(35) 3622-2699,,Equipamentos e soluções de energia,4.9,29.0,"""Bem atenciosos, respiram inovação e tecnologia do setor elétrico""",-22.438398,-45.437447
restauração de carros antigos Itajubá,Itajubá,D&C Autos Antigos / Restauração e Customização de Veículos Antigos / Restauração de Carros Antigos em Itajubá,"Av. Padre Lourenço da Costa-Rodovia Br-459, 3320",(35) 99851-1900,,Serviço de restauração de automóveis,5.0,20.0,"""Recomendo a D&C Autos Antigos!!""",-22.445433,-45.429886
restauração de carros antigos Itajubá,Itajubá,Clássicos Medeiros - Realize Multi-soluções,"Av. João Antônio Pereira, 280",(35) 3621-8157,,Agência de aluguel de carros,,,,-22.424631,-45.45007
restauração de carros antigos Itajubá,Itajubá,Parque da Cidade - Itajubá,"Av. Dr. Jerson Dias, 175",,,Parque municipal,4.7,6900.0,"""Lugar maravilhoso para passear, comprar e degustar as delícias da região.""",-22.410912,-45.43804
restauração de carros antigos Itajubá,Itajubá,Ratoeira Mecânica e Preparação de Motores,"Av. Pe Lourenço Costa Moreira, 1027 Bairro:",(35) 3622-5330,,Oficina mecânica,5.0,30.0,"""Profissionais excelentes""",-22.429953,-45.44405
blindagem automotiva Itajubá,Itajubá,Look films Itajubá - Insulfilm | Envelopamento e PPF,"R. Dra. Maria José Lopes, 363",(35) 99241-3697,,Loja de acessórios automotivos,5.0,71.0,"""Aplicou o film nas três janelas principais aqui em casa e ficou perfeito!""",-22.42869,-45.45154
blindagem automotiva Itajubá,Itajubá,Blackout Films Som e Acessórios Automotivos,"R. Belarminio de Menezes, 45",(35) 99946-3960,,Loja de som para carros,4.9,47.0,"""Ficou perfeito, o carro até rejuvenesceu.""",-22.430296,-45.452934
blindagem automotiva Itajubá,Itajubá,Pro Film Itajubá - Filmes automotivos e Envelopamentos,"Av. Pres. Tancredo de Almeida Neves, 581",(35) 98891-2021,,Loja de acessórios automotivos,4.9,16.0,"""Melhor insulfilm e envelopamento de Itajubá e Região.""",-22.424746,-45.46818
blindagem automotiva Itajubá,Itajubá,DG Estética Automotiva,"R. Dr. Luís Mauad, 65",(35) 99115-4268,,Escritório da empresa,5.0,3.0,"""Denis eh um cara trabalhador, honesto e dedicado pa clr!""",-22.439198,-45.472366
blindagem automotiva Itajubá,Itajubá,TSCAR Tapeçaria automotiva,"R. Comendador João Carneiro, 498",(35) 98441-8382,,Reformas,5.0,10.0,"""Parabéns pelo trabalho e recomendo a todos um excelente profissional""",-22.43458,-45.459503
blindagem automotiva Itajubá,Itajubá,Cabelauto Condutores Elétricos Ltda.,"Rod. Itajuba-Lorena, Km 5",(35) 3629-2500,,Fabricante,4.7,13.0,"""Excelente empresa!""",-22.459322,-45.420647
blindagem automotiva Itajubá,Itajubá,Grimald Lanternagem e Pintura,R. Jorge Braga,(31) 98591-8763,,Pintura automotiva,5.0,2.0,"""Serviço de ótima qualidade e preço justo.""",-22.429976,-45.45855
blindagem automotiva Itajubá,Itajubá,Unicar Auto Partes,"Av. José Manoel Pereira, 391",(35) 3621-1924,,Loja de autopeças,4.4,363.0,"""Ótimo atendimento, bom preço serviço rápido e bem executado!!""",-22.432919,-45.460876
blindagem automotiva Itajubá,Itajubá,StopCar Desmonte e Venda de Auto Peças usadas Itajuba,Rod. Poços de Caldas,(35) 99967-4711,,Loja de peças automotivas usadas,5.0,25.0,"""Excelente atendimento, peças de excelente qualidade e conservação...""",-22.428505,-45.49379
blindagem automotiva Itajubá,Itajubá,Luiz Paulo Automóveis,"R. Dr. Luiz Rennó, 163",(35) 99210-5453,,Concessionária,4.6,22.0,,-22.430296,-45.459953
blindagem automotiva Itajubá,Itajubá,Stopcar Automóveis Itajubá - Loja de carro novo usado seminovo,"R. Jorge Braga, 36",(35) 3622-9800,,Revendedora de carros usados,4.6,9.0,"""Recomendo... melhor loja no ramo de Automoveis.""",-22.430073,-45.4584
blindagem automotiva Itajubá,Itajubá,"RC Ferreira, desmanche itajuba mg",R. Domingos Lamoglia,(35) 98804-0842,,Loja de peças automotivas usadas,3.2,5.0,"""E meu bairro kkkk""",-22.422703,-45.487835
blindagem automotiva Itajubá,Itajubá,CARVALARI,"R. Dona Maria Carneiro, 385",(35) 98415-5107,,Loja,5.0,2.0,"""Excelente no atendimento e venda de produtos para autos.""",-22.428019,-45.461826
blindagem automotiva Itajubá,Itajubá,Rod's Tapeçaria Automotiva,"R. Dr. Luiz Rennó, 331",,,,,,,-22.430006,-45.46147
blindagem automotiva Itajubá,Itajubá,Executive Estética Automotivo,"R. Álvaro Chaves Salomão, 168",(35) 99810-1787,,Serviço de limpeza completa de automóveis,,,,-22.42845,-45.451733
blindagem automotiva Itajubá,Itajubá,SONAUTO AUTO SOM,"Av. Pres. Tancredo de Almeida Neves, 581",(35) 98882-8295,,Autoelétrico,4.6,31.0,"""Excelente atendimento com eficiência e amabilidade""",-22.424723,-45.46822
paisagismo e jardinagem de alto padrão Itajubá,Itajubá,MSIMAO Paisagismo e Jardinagem,"R. Eusébio Pereira, 168",(35) 99153-8906,,Empresa de paisagismo,5.0,6.0,,-22.43214,-45.458237
paisagismo e jardinagem de alto padrão Itajubá,Itajubá,AGROMUNDO,"R. Cel. Joaquim Francisco, 260",(35) 3622-2623,,Empresa de paisagismo,4.5,214.0,"""adoramos plantas ornamentais, árvores frutíferas.""",-22.426252,-45.44931
paisagismo e jardinagem de alto padrão Itajubá,Itajubá,Eduardo Jardinagem,"Luzia - R. Dr. Sebastião Pereira Rennó, 313 - Morro",(35) 98422-6311,,Centro de jardinagem,5.0,1.0,,-22.435476,-45.46674
paisagismo e jardinagem de alto padrão Itajubá,Itajubá,Planta Serviços de Impressão e Plotagem de Projetos,"Praça Amelia Braga, 26",(35) 99777-5810,,Impressões,4.9,10.0,,-22.423056,-45.45227
paisagismo e jardinagem de alto padrão Itajubá,Itajubá,KS Floricultura | Flores e Plantas Ornamentais em Itajubá,"R. Miguel Viana, 96",(35) 99213-0285,,Floricultura,4.9,52.0,"""Flores lindas e atendimento espetacular , parabéns !""",-22.422483,-45.4609
paisagismo e jardinagem de alto padrão Itajubá,Itajubá,Ikebana Flores | Floricultura em Itajubá,"R. Miguel Viana, 67",(35) 98871-1476,,Floricultura,4.9,285.0,"""Loja sensacional, com produtos de qualidade e um excelente atendimento.""",-22.422733,-45.46112
